№,Код 1с,Артикул поставщика,Наименование,Мин. разр. к отгр.
1698,250600130_,MKP93-N-504024-65, ЩМПп-2 (500х400х240)  IP65 IEK,1
1699,250600131_,MKP93-N-604020-65, ЩМПп-3 (600х400х200)  IP65 IEK ,1
1700,250600132_,MKP93-N-806026-65, ЩМПп-4 (800х600х260)  IP65 IEK,1
1701,250600187_,MKP93-N-352515-65,ЩМПп 350х250х150мм УХЛ1 IP65 IEK,1
1702,250600041_,MSP308-3-55,ЩУРн-П 3/8 IP55 (365х225х120) IEK,1
1703,130200020_,YZK10-18-18-34,Замок 18-18\34 IEK,10
1704,130200021_,YZK10-18-20-40,Замок 18-20\40 IEK,10
1705,130200022_,YZK10-20-22-40,Замок 20-22\40 IEK,6
1706,130200023_,YZK11-20-22-45,Замок 20-22\45 IEK,6
1707,130200073_,YZK21-00,Замок-защелка с трехгранным ключом IP54 (22-25/44),6
1708,270300285_,YCE-FF-102-55,Вентилятор с фильтром 102 куб.м./час IP55 IEK (8) NEW,1
1709,270300231_,YCE-FF-021-55,Вентилятор с фильтром 21 куб.м./час IP55 IEK (18) NEW,1
1710,270300284_,YCE-FF-055-55,Вентилятор с фильтром 55 куб.м./час IP55 IEK (12) NEW,1
1711,270300288_,YVR10-105-55,Вентилятор с фильтром ВФИ 105 м3/час IP55 IEK (20) NEW,1
1712,270300289_,YVR10-200-55,Вентилятор с фильтром ВФИ 200 м3/час IP55 IEK (10) NEW,1
1713,270300286_,YVR10-024-55,Вентилятор с фильтром ВФИ 24 м3/час IP55 IEK (30) NEW,1
1714,270300290_,YVR10-380-55,Вентилятор с фильтром ВФИ 380 м3/час IP55 IEK (8) NEW,1
1715,270300291_,YVR10-480-55,Вентилятор с фильтром ВФИ 480 м3/час IP55 IEK (5) NEW,1
1716,270300292_,YVR10-550-55,Вентилятор с фильтром ВФИ 550 м3/час IP55 IEK (5) NEW,1
1717,270300287_,YVR10-065-55,Вентилятор с фильтром ВФИ 65 м3/час IP55 IEK (20) NEW,1
1718,270300293_,YVR10-700-55,Вентилятор с фильтром ВФИ 700 м3/час IP55 IEK (4) NEW,1
1719,270300282_,YCE-EF-055-55,Фильтр c защитным кожухом 125x125мм для вент-ра 55м3/час IEK (24) NEW,1
1720,270300283_,YCE-EF-102-55,Фильтр c защитным кожухом 176x176мм для вен-ра 102м3/час IEK (8) NEW,1
1721,270300281_,YCE-EF-021-55,Фильтр c защитным кожухом 97x97мм для вент-ра 21 м3/час IEK (20) NEW(20) NEW,1
1722,270300296_,YVR10D-EF-200-55,Фильтр c решеткой для вентилятора ВФИ 200 м3/час IEK (28) NEW,1
1723,270300297_,YVR10D-EF-380-55,Фильтр c решеткой для вентилятора ВФИ 380 м3/час IEK (28) NEW,1
1724,270300298_,YVR10D-EF-480-55,Фильтр c решеткой для вентилятора ВФИ 480-700 м3/час IEK (19) NEW,1
1725,270300295_,YVR10D-EF-065-55,Фильтр c решеткой для вентилятора ВФИ 65-105 м3/час IEK (56) NEW,1
1726,270300275_,YCE-RC-10-20,Мини-обогреватель шкафной 10Вт IP54 IEK (100) NEW,1
1727,270300276_,YCE-RC-13-20,Мини-обогреватель шкафной 13Вт IP54 IEK (100) NEW,1
1728,270300272_,YCE-HVL-300-20,Обогреватель (встр. вентилятор) 300 Вт IP20 IEK (20) NEW,1
1729,270300273_,YCE-HVL-400-20,Обогреватель (встр. вентилятор) 400 Вт IP20 IEK (20) NEW,1
1730,270300260_,YCE-HVL-100-20,Обогреватель на DIN-рейку (встр. вентилятор) 100 Вт IP20 IEK (20) NEW(20) NEW,1
1731,270300221_,YCE-HGL-250-20,Обогреватель на DIN-рейку (встр. вентилятор) 250Вт IP20 IEK (10) NEW,1
1732,270300259_,YCE-HGL-400-20,Обогреватель на DIN-рейку (встр. вентилятор) 400Вт IP20 IEK (10) NEW,1
1733,270300224_,YCE-HG-100-20,Обогреватель на DIN-рейку 100Вт IP20 IEK (50) NEW,1
1734,270300244_,YCE-HG-150-20,Обогреватель на DIN-рейку 150Вт IP20 IEK (25) NEW,1
1735,270300261_,YCE-HG-015-20,Обогреватель на DIN-рейку 15Вт IP20 IEK (50) NEW,1
1736,270300262_,YCE-HG-030-20,Обогреватель на DIN-рейку 30Вт IP20 IEK (50) NEW,1
1737,270300263_,YCE-HG-045-20,Обогреватель на DIN-рейку 45Вт IP20 IEK (50) NEW,1
1738,270300212_,YCE-HG-060-20,Обогреватель на DIN-рейку 60Вт IP20 IEK (50) NEW,1
1739,270300264_,YCE-HG-075-20,Обогреватель на DIN-рейку 75Вт IP20 IEK (50) NEW,1
1740,270300267_,YCE-CSL-150-20,Обогреватель на DIN-рейку в корп.(встр.вент.) 150Вт IP20 IEK (38) NEW,1
1741,270300268_,YCE-CSL-250-20,Обогреватель на DIN-рейку в корп.(встр.вент.) 250Вт IP20 IEK (38) NEW,1
1742,270300269_,YCE-CSL-400-20,Обогреватель на DIN-рейку в корп.(встр.вент.) 400Вт IP20 IEK (20) NEW,1
1743,270300265_,YCE-CS-100-20,Обогреватель на DIN-рейку в корпусе 100Вт IP20 IEK (40) NEW,1
1744,270300222_,YCE-CS-150-20,Обогреватель на DIN-рейку в корпусе 150Вт IP20 IEK (40) NEW,1
1745,270300266_,YCE-CS-050-20,Обогреватель на DIN-рейку в корпусе 50Вт IP20 IEK (50) NEW,1
1746,270300277_,YOB30-0800-20,Обогреватель на DIN-рейку ОДР (вент.+терм.) 800Вт IP20 IEK (12) NEW,1
1747,270300278_,YOB30-0900-20,Обогреватель на DIN-рейку ОДР (вент.+терм.) 900Вт IP20 IEK (12) NEW,1
1748,270300302_,YCE-MH-35-95,"Гигростат механический УККг от 35 до 0,95 RH IEK (100) NEW",1
1749,270300301_,YCE-EH-40-90,"Гигростат электронный УККг от 40 до 0,9 RH IEK (100) NEW",1
1750,270300303_,YCE-HT-00-60-50-90,"Гигротерм от 0 до +60°C от 50 до 0,9 RH IEK (60) NEW",1
1751,270300300_,YCE-DTNO-NO-60,Термостат двухканальный от 0 до +60°C NO+NO IEK (100) NEW,1
1752,270300299_,YCE-DTNO-NC-60,Термостат двухканальный УККт от 0 до +60°C NO+NC IEK (100) NEW,1
1753,130600145_,YCE-TNC-00-60,Термостат от 0 до 60 °C NC IEK (200) NEW,10
1754,130600154_,YCE-TNO-00-60,Термостат от 0 до 60 °C NO IEK (200) NEW,10
1755,270300304_,YTT21-00-60-NO-NC,Термостат УККт от -20 до +60°C NO/NC IEK (100) NEW,1
1756,270300305_,YUK10-37-55,Устройство компенсации давления УКД D=37мм IP55 IEK (200) NEW,1
1757,130300982_,IPA10-6-0100-E,"Амперметр Э47  100/5А кл. точн. 1,5 72х72 IEK (1/100)",1
1758,130300962_,IPA10-6-0200-E,"Амперметр Э47  200/5А кл. точн. 1,5 72х72 IEK (1/100)",1
1759,130301000_,IPA20-6-0200-E,"Амперметр Э47  200/5А кл. точн. 1,5 96х96 IEK (1/60)",1
1760,130300985_,IPA10-6-0400-E,"Амперметр Э47  400/5А кл. точн. 1,5 72х72 IEK (1/100)",1
1761,130300986_,IPA10-6-0600-E,"Амперметр Э47  600/5А кл. точн. 1,5 72х72 IEK (1/100)",1
1762,130300963_,IPA10-6-1000-E,"Амперметр Э47 1000/5A кл. точн. 1,5 72х72 IEK (1/100)",1
1763,130301016_,IPV10-6-0500-E,"Вольтметр Э47 500В кл. точн. 1,5 72х72 IEK (1/100)",1
1764,130200430_,A2L5-VD10-10,Детектор напряжения бесконтактный VD10 ARMA2L 5 IEK (300) NEW,1
1765,130200441_,A2L5-DM10D-TL2-110-22,Комплект щупов щупов и крокодилов TL30 IEK ARMA2L 5 IEK (200) NEW,1
1766,130200440_,A2L5-DM10D-MT1,Лента с магнитом для мультиметров  MT10  ARMA2L 5 IEK (200) NEW,1
1767,130200431_,A2L5-DM11-01,Мультиметр  цифровой DM1A ARMA2L IEK (40) NEW,1
1768,130200435_,A2L5-DM15-01,Мультиметр цифровой  цифровой DM1E IEK ARMA2L 5 IEK (40) NEW,1
1769,130200432_,A2L5-DM11-02,Мультиметр цифровой  цифровой DM2A IEK ARMA2L 5 IEK (40) NEW,1
1770,130200433_,A2L5-DM12-03,Мультиметр цифровой  цифровой DM3B IEK ARMA2L 5 IEK (30) NEW,1
1771,130200434_,A2L5-DM13-03,Мультиметр цифровой  цифровой DM3C IEK ARMA2L 5 IEK (30) NEW,1
1772,114001010_,TMD-1S-182,Мультиметр цифровой Compact M182 IEK (100),1
1773,130200185_,TMD-3L-830,Мультиметр цифровой Master MAS830L IEK (40),1
1774,130200184_,TMD-3L-838,Мультиметр цифровой Master MAS838L IEK (40),1
1775,114001002_,TMD-2B-830,Мультиметр цифровой Universal M830B IEK (60),1
1776,130200442_,A2L5-IT11-01,Пирометр инфракрасный IT1A ARMA2L 5 IEK (50) NEW,1
1777,130200443_,A2L5-IT12-02,Пирометр инфракрасный IT2B ARMA2L 5 IEK (40) NEW,1
1778,130200444_,A2L5-ST14-02,Тестер розеток  розеток ST02D ARMA2L 5 IEK (100) NEW,1
1779,130200445_,A2L5-ST14-03,Тестер розеток розеток ST03D ARMA2L 5 IEK (80) NEW,1
1780,130300546_,TKL10-D15-006,"Клещи обжимн КО-01 1,5-6мм IEK (40)",1
1781,130300544_,TKL10-D4,"Клещи обжимн КО-04Е 0,5-6мм(квадрат) IEK (40)",1
1782,130300147_,TKL20-010-035,Клещи обжимн КО-07Е 10-35мм IEK (40),1
1783,130300545_,TKL10-D6,"Клещи обжимн КО-08Е0,5-6мм (шестиграннник) IEK (40)",1
1784,130300032_,TKL20-D05-006,"Клещи обжимн КО-5Е 0,5-6мм IEK (40)",1
1785,130300033_,TKL20-006-016,Клещи обжимн КО-6Е 6-16мм IEK (40),1
1786,130200436_,A2L5-CM11-01,Токоизмерительные клещи CM1A IEK ARMA2L 5 IEK (30) NEW,1
1787,130200437_,A2L5-CM13-01,Токоизмерительные клещи CM1C IEK ARMA2L 5 IEK (30) NEW,1
1788,130200439_,A2L5-CM14-01,Токоизмерительные клещи CM1D IEK ARMA2L 5 IEK (30) NEW,1
1789,130200438_,A2L5-CM13-02,Токоизмерительные клещи CM2C IEK ARMA2L 5 IEK (60) NEW,1
1790,200400034_,TCM-1S-266,Токоизмерительные клещи Expert 266 IEK (20),1
1791,130200183_,TCM-1C-266,Токоизмерительные клещи Expert 266С IEK (20),1
1792,130301257_,TFS10-1-10,"Автоматический стриппер  MASTER АС 0,03-10 IEK",1
1793,130301258_,TFS10-3-06,Автоматический стриппер  PROFI СИ-6м IEK,1
1794,130300293_,TFS-D3,"Автоматический стриппер АС 0,018-2,5 IEK",#N/A
1795,130300291_,TLK10-240,Ножницы (секторные)  для резки кабеля НС-240 (до 240мм) IEK,1
1796,130301099_,TLK10-765,Ножницы (секторные) для резки кабеля  НС-765 (до 400мм) IEK,1
1797,130300292_,TLK10-250,Ножницы (секторные) для резки кабеля НК-250 IEK (240мм),1
1798,130300596_,TLK10-300,Ножницы (секторные) для резки кабеля НС-300 (до 300мм) IEK,1
1799,200400259_,TM1-B11V,Инструмент обжим. RJ-45/12 с храп. мех. верт. обжим ITK,1
1800,200400264_,TM1-B11H,Инструмент обжим. RJ-45/12/11 с храп. мех. ITK,1
1801,130300005_,TPR10,Отвертка пробник ОП-1 IEK (120),1
1802,130300006_,TPR20,Отвертка пробник ОП-2Э IEK (120),1
1803,130200422_,A2L5-PC10-K4-160,Бокорезы 160мм K4 ARMA2L 5 IEK (1),1
1804,130200423_,A2L5-PC10-K4-180,Бокорезы 180мм K4 ARMA2L 5 IEK (1),1
1805,130200419_,A2L5-HC10-K4-180,Бокорезы усиленные 180мм K4 ARMA2L 5 IEK (1),1
1806,130200424_,A2L5-PL10-K4-160,Пассатижи 160мм K4 ARMA2L 5 IEK (1),1
1807,130200425_,A2L5-PL10-K4-180,Пассатижи 180мм K4 ARMA2L 5 IEK (1),1
1808,130200426_,A2L5-PL10-K4-200,Пассатижи 200мм K4 ARMA2L 5 IEK (1),1
1809,130200339_,TPL-2-160,Пассатижи Expert 160мм IEK,#N/A
1810,130200341_,TPL-3-180,Пассатижи Profi 180мм IEK,1
1811,130200420_,A2L5-LN10-K4-160,Тонкогубцы 160мм K4 ARMA2L 5 IEK (1),1
1812,130200421_,A2L5-LN10-K4-200,Тонкогубцы 200мм K4 ARMA2L 5 IEK (1),1
1813,130301096_,TKL10-001,Пресс гидравл. ПГР- 70 IEK,1
1814,130301097_,TKL10-004,Пресс гидравл. ПГР-300 IEK,1
1815,130301098_,TKL10-015,Пресс мех.ручной ПМР-6-50 IEK,1
1816,130200417_,A2L5-BO10-08-K02,Вкладыш для инструмента BO-08 ARMA2L 5 IEK (1),1
1817,130200418_,A2L5-BP11-07-K02,Рюкзак монтажника с резиновым дном BP-07 ARMA2L 5 IEK (1),1
1818,130200416_,A2L5-BG30-05-K02,Сумка монтажника открытого типа BG-05 ARMA2L 5 IEK (1),1
1819,130200414_,A2L5-BG12-02-K02,Сумка монтажника с пластиковым дном BG-02 ARMA2L 5 IEK (1),1
1820,130200415_,A2L5-BG12-03-K02,Сумка монтажника с пластиковым дном BG-03 ARMA2L 5 IEK (1),1
1821,130200413_,A2L5-BG10-04-K02,Сумка монтажника универсальная BG-04 ARMA2L 5 IEK (1),1
1822,151000774_,TIR10-1-008,Рулетка измерительная Universal 8м IEK,1
1823,280200252_,CS3-1C5EU,Разъём RJ-45 UTP для кабеля кат.5Е ITK,20
1824,200400085_,LC1-C5E04-311,"  F/UTP (24 AWG), кат.5Е экран, 4 пары, серый  305м ITK",1
1825,200400250_,LC3-C5E04-339," F/UTP (24 AWG), кат.5Е экран, 4 пары, LDPE внеш.черный 305м ITK ",1
1826,200400330_,LC1-C604-127-T-P-R,"U/UTP кат.6 4х2х0,57 LSZH нг(А)-HF оранжевый (305м)  ITK",1
1827,200400329_,LC1-C604-128-T-P-R,"U/UTP кат.6 4х2х0,57 PVCLS нг(А)-LSLTx белый (305м) ITK",1
1828,200400166_,LC3-C5E04-139," U/UTP, кат.5Е 4х2х0,51 solid, LDPE внеш.черный 305м ITK",1
1829,200400048_,LC1-C5E04-111," U/UTP, кат.5Е 4х2х0,51 solid, серый 305м ITK",1
1830,200400104_,LC1-C604-111,"U/UTP, кат.6  4х2х0,23 solid, 305м ITK",1
1831,030201244_,BR-V23-0-10-K01,"Выкл 2-кл перекр 10А б/рамки ""BRITE"" белый (1/100)",1
1832,030201236_,BR-V23-0-10-K02,"Выкл 2-кл перекр 10А б/рамки ""BRITE"" черный (1/100)",1
1833,030201245_,BR-V23-0-10-K53,"Выкл 2-кл перекр 10А б/рамки ""BRITE"" графит (1/100)",1
1834,030201246_,BR-V23-0-10-K47,"Выкл 2-кл перекр 10А б/рамки ""BRITE"" алюминий (1/100)",1
1835,030201247_,BR-V23-0-10-K36,"Выкл 2-кл перекр 10А б/рамки ""BRITE"" жемчуг (1/100)",1
1836,030201248_,BR-V23-0-10-K10,"Выкл 2-кл перекр 10А б/рамки ""BRITE"" бежевый (1/100)",1
1837,030201250_,BR-V23-0-10-K46,"Выкл 2-кл перекр 10А б/рамки ""BRITE"" сталь (1/100)",1
1838,030201251_,BR-V23-0-10-K45,"Выкл 2-кл перекр 10А б/рамки ""BRITE"" темная бронза (1/100)",1
1839,030201252_,BR-V23-0-10-K37,"Выкл 2-кл перекр 10А б/рамки ""BRITE"" шампань (1/100)",1
1840,280301023_,ZKZ11-14-020-06,Комплект заземления 6/20 б/м оц. сталь HDZ IEK,1
1841,280301024_,ZKZ11-14-020-09,Комплект заземления 9/20 б/м оц. сталь HDZ IEK,1
1842,290100122_,WFP10-16-05-03-ZK-K02,СФ-05К-вык (5 мест/3м.) черный IEK,5
1843,290100146_,WFP10-16-05-03-ZK-K03,СФ-05К-вык (5 мест/3м.) серый IEK,5
1844,290100147_,WFP10-16-05-05-ZK-K02,СФ-05К-вык (5 мест/5м.) черный IEK,5
1845,290100148_,WFP10-16-05-05-ZK-K03,СФ-05К-вык (5 мест/5м.) серый IEK,5
1846,010300251_,KA-DP10-1-032,УЗДП 1P+N 32A KARAT IEK,1
1847,010300252_,KA-DP10-1-063,УЗДП 1P+N 63A KARAT IEK,1
1848,010300250_,KA-DP11-1-010-C,УЗДП c авт. выкл. 1P+N C 10A KARAT IEK,1
1849,010300239_,KA-DP11-1-016-C,УЗДП c авт. выкл. 1P+N C 16A KARAT IEK,1
1850,010300242_,KA-DP11-1-032-C,УЗДП c авт. выкл. 1P+N C 32A KARAT IEK,1
1851,130500136_,MOP20-1-C,ОПС1-C 1Р In=20kA Un=400B Im=40kA IEK,1
1852,130300207_,MOP20-2-C,ОПС1-C 2Р In=20kA Un=400B Im=40kA IEK,1
1853,130500085_,MOP20-2-D,ОПС1-D 2Р In=5kA Un=230B Im=10kA IEK,1
1854,130500102_,MOP20-3-B,ОПС1-B 3Р In=30kA Un=400B Im=60kA IEK,1
1855,130500088_,MOP20-3-C,ОПС1-C 3Р In=20kA Un=400B Im=40kA IEK,1
1856,130500094_,MOP20-4-B,ОПС1-B 4Р In=30kA Un=400B Im=60kA IEK,1
1857,130500080_,MOP20-4-C,ОПС1-C 4Р In=20kA Un=400B Im=40kA IEK,1
1858,010400925_,IVC21-1-25,Реле напряжения и тока РНТ-д однофазное 36мм 25А IEK,1
1859,010400854_,IVC21-1-50,Реле напряжения и тока РНТ-д однофазное 36мм 50А IEK,1
1860,010400926_,IVC31-1-25,Реле напряжения и тока РНТ-д однофазное 54мм 25А IEK,1
1861,010400849_,IVC31-1-32,Реле напряжения и тока РНТ-д однофазное 54мм 32А IEK,1
1862,010400927_,IVC31-1-40,Реле напряжения и тока РНТ-д однофазное 54мм 40А IEK,1
1863,010400928_,IVC31-1-50,Реле напряжения и тока РНТ-д однофазное 54мм 50А IEK,1
1864,010400850_,IVC31-1-63,Реле напряжения и тока РНТ-д однофазное 54мм 63А IEK,1
1865,010400929_,IVR21-1-25,Реле напряжения РН-д однофазное 36мм 25А IEK,1
1866,010400865_,IVR21-1-32,Реле напряжения РН-д однофазное 36мм 32А IEK,1
1867,010400867_,IVR21-1-40,Реле напряжения РН-д однофазное 36мм 40А IEK,1
1868,010400930_,IVR31-1-25,Реле напряжения РН-д однофазное 54мм 25А IEK,1
1869,010400931_,IVR31-1-32,Реле напряжения РН-д однофазное 54мм 32А IEK,1
1870,010400932_,IVR31-1-40,Реле напряжения РН-д однофазное 54мм 40А IEK,1
1871,010400933_,IVR31-1-50,Реле напряжения РН-д однофазное 54мм 50А IEK,1
1872,010400934_,IVR31-1-63,Реле напряжения РН-д однофазное 54мм 63А IEK,1
1873,270400046_,MPR10-1-063,Выключатель-разъединитель трехпозиционный ВРТ-63 1P 63А IEK,12
1874,270400035_,MPR10-2-063,Выключатель-разъединитель трехпозиционный ВРТ-63 2P 63А IEK,6
1875,270400047_,MPR10-3-063,Выключатель-разъединитель трехпозиционный ВРТ-63 3P 63А IEK,4
1876,270400043_,MPR10-4-063,Выключатель-разъединитель трехпозиционный ВРТ-63 4P 63А IEK,3
1877,010400939_,KKV12-7141-1-64,Микр. конц. МП-7141 укор. рычаг с рол. IP40 IEK,1
1878,010400940_,KKV12-P124-1-67,Выкл. конц. C6N-124 толк. с наж. рол. резьб. IP67 IEK,1
1879,010400941_,KKV12-P125-1-67,Выкл. конц. C6N-125 верт. толк. с наж. рол. рез. IP67 IEK,1
1880,010400942_,KKV12-P167-1-67,Выкл. конц. C6N-167 пруж. стрерж. IP67 IEK,1
1881,010400943_,KKV12-7124-1-64,Микр. конц. МП-7124 рычаг с рег. рол. IP40 IEK,1
1882,010400944_,KKV12-7120-2-64,Микр. конц. МП-7120 рычаг IP40 IEK,1
1883,010400945_,KKV12-P104-2-67,Выкл. конц. C6N-104 рычаг с рол. IP67 IEK,1
1884,010400946_,KKV12-P111-1-67,Выкл. конц. C6N-111 толкатель IP67 IEK,1
1885,010400947_,KKV12-7310-2-64,Микр. конц. МП-7310 толк. рез. IP40 IEK,1
1886,010400948_,KKV12-7144-1-64,Микр. конц. МП-7144 укор. рычаг с рег. рол. IP40 IEK,1
1887,010400949_,KKV12-P108-1-67,Выкл. конц. C6N-108 рег. рычаг с рол. IP67 IEK,1
1888,010400950_,KKV12-7121-1-64,Микр. конц. МП-7121 рычаг с рол. IP40 IEK,1
1889,010400951_,KKV12-7140-2-64,Микр. конц. МП-7140 укор. рычаг IP40 IEK,1
1890,010400952_,KKV12-P116-2-67,Выкл. конц. C6N-116 толк. с рыч. рол. прав. IP67 IEK,1
1891,010400953_,KKV12-P122-1-67,Выкл. конц. C6N-122 толк. с наж. рол. IP67 IEK,1
1892,010400954_,KKV12-P123-1-67,Выкл. конц. C6N-123 верт. толк. с наж. рол. IP67 IEK,1
1893,010400955_,KKV12-7311-2-64,Микр. конц. МП-7311 гор. толк. с наж. рол. рез. IP40 IEK,1
1894,010400956_,KKV12-P105-1-67,Выкл. конц. C6N-105 рычаг с мет. рол. IP67 IEK,1
1895,010400957_,KKV12-P115-2-67,Выкл. конц. C6N-115 толк. с рыч. рол. лев. IP67 IEK,1
1896,010400958_,KKV12-7100-2-64,Микр. конц. МП-7100 толкатель IP40 IEK,1
1897,250600309_,TR5-11-N-030-20-13-65,TETRA Корпус пластик. ЩМПп 300х200х130мм прозр. IP66 IEK,1
1898,250600310_,TR5-11-N-035-25-15-65,TETRA Корпус пластик. ЩМПп 350х250х150мм прозр. IP66 IEK,1
1899,250600311_,TR5-11-N-040-30-17-65,TETRA Корпус пластик. ЩМПп 400х300х170мм прозр. IP66 IEK,1
1900,250600312_,TR5-11-N-040-30-22-65,TETRA Корпус пластик. ЩМПп 400х300х220мм прозр. IP66 IEK,1
1901,250600313_,TR5-11-N-050-40-18-65,TETRA Корпус пластик. ЩМПп 500х400х180мм прозр. IP66 IEK,1
1902,250600314_,TR5-12-N-030-20-13-65,TETRA Корпус пластик. ЩМПп 300х200х130мм IP66 IEK,1
1903,250600315_,TR5-12-N-035-25-15-65,TETRA Корпус пластик. ЩМПп 350х250х150мм IP66 IEK,1
1904,250600316_,TR5-12-N-040-30-17-65,TETRA Корпус пластик. ЩМПп 400х300х170мм IP66 IEK,1
1905,250600317_,TR5-12-N-040-30-22-65,TETRA Корпус пластик. ЩМПп 400х300х220мм IP66 IEK,1
1906,250600318_,TR5-12-N-050-40-18-65,TETRA Корпус пластик. ЩМПп 500х400х180мм IP66 IEK,1
1907,130200490_,A2L5-NS30-T2-13,ARMA2L 5 Отвертка диэлектрическая с жалами SLIM 13шт IEK,1
